Sr_No,Cap_Type,Name,Ticker,Sub_Sector,Market_Cap,Close_Price
1,Large Cap,Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,2002983,3021
2,Large Cap,Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1392783,3703
3,Large Cap,HDFC Bank Ltd,HDFCBANK,Private Banks,1153546,1572
4,Large Cap,Bharti Airtel Ltd,BHARTIARTL,Telecom Services,826211,1373
5,Large Cap,ICICI Bank Ltd,ICICIBANK,Private Banks,795800,1160
6,Large Cap,State Bank of India,SBIN,Public Banks,739493,906
7,Large Cap,Life Insurance Corporation Of India,LICI,Insurance,651317,1068
8,Large Cap,Infosys Ltd,INFY,IT Services & Consulting,606592,1406
9,Large Cap,Hindustan Unilever Ltd,HINDUNILVR,FMCG - Household Products,556630,2356
10,Large Cap,ITC Ltd,ITC,FMCG - Tobacco,544584,430
11,Large Cap,Larsen and Toubro Ltd,LT,Construction & Engineering,498472,3897
12,Large Cap,Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,422526,6698
13,Large Cap,Maruti Suzuki India Ltd,MARUTI,Four Wheelers,408737,12476
14,Large Cap,Adani Enterprises Ltd,ADANIENT,Commodities Trading,385885,3411
15,Large Cap,HCL Technologies Ltd,HCLTECH,IT Services & Consulting,364279,1314
16,Large Cap,NTPC Ltd,NTPC,Power Generation,363576,392
17,Large Cap,Axis Bank Ltd,AXISBANK,Private Banks,362550,1162
18,Large Cap,Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,356709,1453
19,Large Cap,Oil and Natural Gas Corporation Ltd,ONGC,Oil & Gas - Exploration & Production,356336,284
20,Large Cap,Tata Motors Ltd,TATAMOTORS,Four Wheelers,352185,950
21,Large Cap,Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,345533,5274
22,Large Cap,Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,338634,1718
23,Large Cap,Hindustan Zinc Ltd,HINDZINC,Mining - Diversified,313793,696
24,Large Cap,Mahindra and Mahindra Ltd,M&M,Four Wheelers,309046,2634
25,Large Cap,Coal India Ltd,COALINDIA,Mining - Coal,308753,491
26,Large Cap,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,305897,1437
27,Large Cap,Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,305188,1908
28,Large Cap,Avenue Supermarts Ltd,DMART,Retail - Department Stores,304836,4302
29,Large Cap,Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",302948,3261
30,Large Cap,Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,296503,338
31,Large Cap,UltraTech Cement Ltd,ULTRACEMCO,Cement,294844,9916
32,Large Cap,Asian Paints Ltd,ASIANPAINT,Paints,275643,2881
33,Large Cap,Adani Power Ltd,ADANIPOWER,Power Generation,272686,756
34,Large Cap,Siemens Ltd,SIEMENS,Conglomerates,259373,7274
35,Large Cap,Bajaj Finserv Ltd,BAJAJFINSV,Insurance,255081,1529
36,Large Cap,Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,249816,9085
37,Large Cap,Wipro Ltd,WIPRO,IT Services & Consulting,242123,438
38,Large Cap,Indian Railway Finance Corp Ltd,IRFC,Specialized Finance,240461,189
39,Large Cap,Indian Oil Corporation Ltd,IOC,Oil & Gas - Refining & Marketing,238367,175
40,Large Cap,Nestle India Ltd,NESTLEIND,FMCG - Foods,237930,2355
41,Large Cap,Jio Financial Services Ltd,JIOFIN,Consumer Finance,232149,356
